,date,totalCases,deaths,suspects,recovered,tests,vaccinated,vaccinated_second,activeCases,newVaccinated,newVaccinated_second
268,2020-03-22,26,0,,,,,,,,
296,2020-03-23,32,0,,,,,,,,
324,2020-03-24,47,1,,1.0,,,,45.0,,
352,2020-03-25,54,1,,1.0,,,,52.0,,
380,2020-03-26,67,1,,1.0,,,,65.0,,
408,2020-03-27,81,1,,1.0,,,,79.0,,
436,2020-03-28,111,1,121.0,1.0,,,,109.0,,
464,2020-03-29,140,1,121.0,1.0,,,,138.0,,
492,2020-03-30,151,2,121.0,1.0,,,,148.0,,
520,2020-03-31,175,3,121.0,1.0,,,,171.0,,
548,2020-04-01,200,3,121.0,1.0,,,,196.0,,
576,2020-04-02,229,3,121.0,1.0,,,,225.0,,
604,2020-04-03,260,7,121.0,1.0,,,,252.0,,
632,2020-04-04,311,12,121.0,1.0,,,,298.0,,
660,2020-04-05,417,15,121.0,1.0,,,,401.0,,
688,2020-04-06,532,19,121.0,1.0,,,,512.0,,
716,2020-04-07,636,23,121.0,1.0,,,,612.0,,
744,2020-04-08,804,30,121.0,1.0,,,,773.0,,
772,2020-04-09,899,40,121.0,1.0,,,,858.0,,
800,2020-04-10,981,50,121.0,1.0,,,,930.0,,
828,2020-04-11,1050,53,121.0,1.0,,,,996.0,,
856,2020-04-12,1206,62,219.0,1.0,,,,1143.0,,
884,2020-04-13,1275,71,700.0,138.0,,,,1066.0,,
912,2020-04-14,1484,90,700.0,138.0,,,,1256.0,,
940,2020-04-15,1554,106,700.0,138.0,,,,1310.0,,
968,2020-04-16,1719,124,700.0,138.0,,,,1457.0,,
996,2020-04-17,1809,145,700.0,138.0,,,,1526.0,,
1024,2020-04-18,1897,161,700.0,138.0,,,,1598.0,,
1052,2020-04-19,2044,182,700.0,532.0,,,,1330.0,,
1080,2020-04-20,2160,185,700.0,635.0,,,,1340.0,,
1108,2020-04-21,2270,193,700.0,726.0,,,,1351.0,,
1136,2020-04-22,2479,207,700.0,879.0,,,,1393.0,,
1164,2020-04-23,2888,234,700.0,961.0,,,,1693.0,,
1192,2020-04-24,3194,255,700.0,1037.0,,,,1902.0,,
1220,2020-04-25,3635,287,1764.0,1089.0,,,,2259.0,,
1248,2020-04-26,3833,304,1764.0,1220.0,,,,2309.0,,
1276,2020-04-27,3928,320,1764.0,1272.0,,,,2336.0,,
1304,2020-04-28,4337,351,993.0,1456.0,,,,2530.0,,
1332,2020-04-29,4801,380,993.0,1487.0,,,,2934.0,,
1360,2020-04-30,5254,425,993.0,1639.0,,,,3190.0,,
1388,2020-05-01,5723,476,993.0,1708.0,,,,3539.0,,
1416,2020-05-02,6062,501,993.0,1770.0,,,,3791.0,,
1444,2020-05-03,6683,548,993.0,1901.0,,,,4234.0,,
1472,2020-05-04,7313,585,993.0,2000.0,,,,4728.0,,
1500,2020-05-05,8109,649,993.0,2097.0,,,,5363.0,,
1528,2020-05-06,9243,751,993.0,2286.0,,,,6206.0,,
1556,2020-05-07,10099,806,993.0,6159.0,,,,3134.0,,
1584,2020-05-08,10727,874,993.0,6494.0,,,,3359.0,,
1612,2020-05-09,11925,962,993.0,6504.0,,,,4459.0,,
1640,2020-05-10,12599,1004,993.0,6597.0,,,,4998.0,,
1668,2020-05-11,12919,1035,993.0,6685.0,,,,5199.0,,
1696,2020-05-12,14168,1098,993.0,6782.0,,,,6288.0,,
1724,2020-05-13,15816,1160,881.0,7975.0,,,,6681.0,,
1752,2020-05-14,17181,1235,881.0,9407.0,,,,6539.0,,
1780,2020-05-15,18392,1331,881.0,10242.0,,,,6819.0,,
1808,2020-05-16,19677,1375,881.0,10639.0,,,,7663.0,,
1836,2020-05-17,20328,1413,881.0,11663.0,,,,7252.0,,
1864,2020-05-18,20913,1433,641.0,13929.0,,,,5551.0,,
1892,2020-05-19,22132,1491,641.0,16627.0,,,,4014.0,,
1920,2020-05-20,23704,1561,641.0,18348.0,,,,3795.0,,
1948,2020-05-21,25367,1620,641.0,19734.0,,,,4013.0,,
1976,2020-05-22,27038,1669,641.0,21368.0,,,,4001.0,,
2004,2020-05-23,28802,1744,641.0,22451.0,,,,4607.0,,
2032,2020-05-24,29867,1758,641.0,23184.0,,,,4925.0,,
2060,2020-05-25,30282,1781,558.0,24112.0,68629.0,,,4389.0,,
2088,2020-05-26,31949,1852,558.0,25465.0,68629.0,,,4632.0,,
2116,2020-05-27,33508,1891,558.0,26742.0,68629.0,,,4875.0,,
2144,2020-05-28,36146,1964,558.0,28780.0,68629.0,,,5402.0,,
2172,2020-05-29,38909,2011,558.0,31121.0,71077.0,,,5777.0,,
2200,2020-05-30,40560,2047,558.0,31121.0,71077.0,,,7392.0,,
2228,2020-05-31,41378,2052,558.0,33140.0,71077.0,,,6186.0,,
2256,2020-06-01,41774,2071,558.0,33443.0,71077.0,,,6260.0,,
2284,2020-06-02,43195,2102,558.0,34583.0,94882.0,,,6510.0,,
2312,2020-06-03,44347,2138,558.0,35552.0,94882.0,,,6657.0,,
2340,2020-06-04,46473,2183,558.0,37294.0,94882.0,,,6996.0,,
2368,2020-06-05,47666,2199,558.0,38130.0,94882.0,,,7337.0,,
2396,2020-06-06,48785,2232,558.0,39229.0,107215.0,,,7324.0,,
2424,2020-06-07,49269,2250,558.0,39586.0,107215.0,,,7433.0,,
2452,2020-06-08,49817,2271,558.0,39586.0,107215.0,,,7960.0,,
2480,2020-06-09,51234,2315,558.0,39586.0,110405.0,,,9333.0,,
2508,2020-06-10,52849,2363,558.0,42586.0,110405.0,,,7900.0,,
2536,2020-06-11,53989,2400,534.0,43508.0,110405.0,,,8081.0,,
2564,2020-06-12,55111,2429,534.0,44447.0,110405.0,,,8235.0,,
2592,2020-06-13,56026,2465,534.0,45238.0,124118.0,,,8323.0,,
2620,2020-06-14,56506,2492,534.0,45624.0,124118.0,,,8390.0,,
2648,2020-06-15,56777,2512,534.0,45828.0,124118.0,,,8437.0,,
2676,2020-06-16,58018,2550,1827.0,46894.0,124118.0,,,8574.0,,
2704,2020-06-17,59547,2579,1827.0,48173.0,132752.0,,,8795.0,,
2732,2020-06-18,60736,2605,1827.0,49178.0,132752.0,,,8953.0,,
2760,2020-06-19,61683,2624,1365.0,49965.0,132752.0,,,9094.0,,
2788,2020-06-20,62902,2650,1365.0,50980.0,132752.0,,,9272.0,,
2816,2020-06-21,63410,2657,1365.0,51398.0,142122.0,,,9355.0,,
2844,2020-06-22,63731,2671,1365.0,51398.0,142122.0,,,9662.0,,
2872,2020-06-23,65073,2686,2067.0,52771.0,142122.0,,,9616.0,,
2900,2020-06-24,66764,2710,2067.0,54193.0,142122.0,,,9861.0,,
2928,2020-06-25,67267,2731,2067.0,54193.0,142122.0,,,10343.0,,
2956,2020-06-26,68220,2739,2067.0,55414.0,155783.0,,,10067.0,,
2984,2020-06-27,69022,2772,2067.0,56103.0,155783.0,,,10147.0,,
3012,2020-06-28,69649,2784,2067.0,56634.0,155783.0,,,10231.0,,
3040,2020-06-29,69893,2792,2067.0,56634.0,155783.0,,,10467.0,,
3068,2020-06-30,70823,2823,2067.0,57616.0,155783.0,,,10384.0,,
3096,2020-07-01,72284,2843,2446.0,58822.0,165743.0,,,10619.0,,
3124,2020-07-02,73530,2862,2446.0,59883.0,165743.0,,,10785.0,,
3152,2020-07-03,74537,2887,2446.0,60743.0,165743.0,,,10907.0,,
3180,2020-07-04,75945,2918,2446.0,61941.0,165743.0,,,11086.0,,
3208,2020-07-05,76014,2929,2446.0,61989.0,174415.0,,,11096.0,,
3236,2020-07-06,76427,2938,2446.0,61989.0,174415.0,,,11500.0,,
3264,2020-07-07,79167,2952,2446.0,66256.0,174415.0,,,9959.0,,
3292,2020-07-08,80082,2967,2107.0,67024.0,174415.0,,,10091.0,,
3320,2020-07-09,81318,2985,2107.0,67024.0,174415.0,,,11309.0,,
3348,2020-07-10,82507,3008,2107.0,69107.0,174415.0,,,10392.0,,
3376,2020-07-11,83230,3023,2107.0,69736.0,188123.0,,,10471.0,,
3404,2020-07-12,83526,3039,2107.0,69971.0,188123.0,,,10516.0,,
3432,2020-07-13,84412,3048,2107.0,70720.0,188123.0,,,10644.0,,
3460,2020-07-14,85800,3064,2107.0,71958.0,188123.0,,,10778.0,,
3488,2020-07-15,86944,3080,2107.0,72928.0,198264.0,,,10936.0,,
3516,2020-07-16,88025,3095,2107.0,72928.0,198264.0,,,12002.0,,
3544,2020-07-17,88822,3118,2107.0,74531.0,198264.0,,,11173.0,,
3572,2020-07-18,90534,3129,2107.0,76009.0,198264.0,,,11396.0,,
3600,2020-07-19,90913,3149,2107.0,76009.0,198264.0,,,11755.0,,
3628,2020-07-20,91389,3146,2107.0,76723.0,208819.0,,,11520.0,,
3656,2020-07-21,92164,3169,2107.0,77394.0,208819.0,,,11601.0,,
