,date,totalCases,deaths,suspects,recovered,tests,vaccinated,vaccinated_second,activeCases,newVaccinated,newVaccinated_second
1,2020-02-25,1,0,,,,,,,,
3,2020-02-26,1,0,,,,,,,,
5,2020-02-27,1,0,,,,,,,,
7,2020-02-28,2,0,,,,,,,,
9,2020-02-29,2,0,,,,,,,,
11,2020-03-01,2,0,,,,,,,,
13,2020-03-02,2,0,,,,,,,,
15,2020-03-03,2,0,,,,,,,,
17,2020-03-04,3,0,,,,,,,,
20,2020-03-05,7,0,,,,,,,,
25,2020-03-06,14,0,,,,,,,,
31,2020-03-07,19,0,,,,,,,,
39,2020-03-08,25,0,,,,,,,,
47,2020-03-09,25,0,,,,,,,,
56,2020-03-10,34,0,,,,,,,,
65,2020-03-11,53,0,,,,,,,,
79,2020-03-12,89,0,,,,,,,,
94,2020-03-13,106,0,,,,,,,,
111,2020-03-14,142,0,,,,,,,,
128,2020-03-15,225,0,,,,,,,,
146,2020-03-16,279,0,,,,,,,,
165,2020-03-17,333,1,,,,,,,,
187,2020-03-18,514,4,,,,,,,,
210,2020-03-19,643,7,,,,,,,,
237,2020-03-20,974,11,,,,,,,,
265,2020-03-21,1198,18,,,,,,,,
293,2020-03-22,1594,25,,,,,,,,
321,2020-03-23,1952,34,15867.0,8.0,,,,1910.0,,
349,2020-03-24,2255,47,17700.0,20.0,,,,2188.0,,
377,2020-03-25,2566,59,27227.0,27.0,,,,2480.0,,
405,2020-03-26,2990,77,50012.0,42.0,,,,2871.0,,
433,2020-03-27,3476,93,51903.0,42.0,,,,3341.0,,
461,2020-03-28,3955,115,53256.0,56.0,,,,3784.0,,
489,2020-03-29,4315,139,59066.0,56.0,,,,4120.0,,
517,2020-03-30,4663,166,58163.0,66.0,,,,4431.0,,
545,2020-03-31,5824,202,64941.0,66.0,,,,5556.0,,
573,2020-04-01,6931,244,64537.0,78.0,,,,6609.0,,
601,2020-04-02,8100,305,69980.0,78.0,,,,7717.0,,
629,2020-04-03,9212,365,72409.0,78.0,,,,8769.0,,
