Data;casos_diarios
02/01/2020;1
04/01/2020;2
06/01/2020;1
07/01/2020;1
09/01/2020;1
12/01/2020;1
16/01/2020;1
22/01/2020;1
31/01/2020;1
01/02/2020;1
03/02/2020;1
09/02/2020;1
20/02/2020;1
24/02/2020;4
04/03/2020;1
09/03/2020;1
10/03/2020;1
14/03/2020;1
17/03/2020;2
22/03/2020;1
23/03/2020;1
26/03/2020;1
27/03/2020;1
03/04/2020;1
04/04/2020;1
05/04/2020;3
06/04/2020;1
09/04/2020;1
11/04/2020;1
13/04/2020;2
14/04/2020;6
15/04/2020;1
17/04/2020;4
18/04/2020;3
19/04/2020;2
20/04/2020;9
21/04/2020;4
22/04/2020;4
23/04/2020;8
24/04/2020;3
25/04/2020;2
26/04/2020;1
27/04/2020;3
28/04/2020;5
29/04/2020;2
30/04/2020;4
01/05/2020;4
02/05/2020;16
03/05/2020;5
04/05/2020;20
05/05/2020;13
06/05/2020;15
07/05/2020;17
08/05/2020;22
09/05/2020;12
10/05/2020;7
11/05/2020;58
12/05/2020;33
13/05/2020;54
14/05/2020;62
15/05/2020;61
16/05/2020;19
17/05/2020;29
18/05/2020;98
19/05/2020;97
20/05/2020;91
21/05/2020;111
22/05/2020;109
23/05/2020;63
24/05/2020;8
25/05/2020;161
26/05/2020;122
27/05/2020;166
28/05/2020;147
29/05/2020;152
30/05/2020;68
31/05/2020;24
01/06/2020;130
02/06/2020;147
03/06/2020;174
04/06/2020;166
05/06/2020;183
06/06/2020;128
07/06/2020;66
08/06/2020;249
09/06/2020;197
10/06/2020;190
11/06/2020;153
12/06/2020;106
13/06/2020;57
14/06/2020;66
15/06/2020;205
16/06/2020;127
17/06/2020;147
18/06/2020;162
19/06/2020;124
20/06/2020;87
21/06/2020;62
22/06/2020;190
23/06/2020;149
24/06/2020;160
25/06/2020;117
26/06/2020;113
27/06/2020;76
28/06/2020;48
29/06/2020;192
30/06/2020;166
01/07/2020;125
02/07/2020;153
03/07/2020;139
04/07/2020;84
05/07/2020;60
06/07/2020;174
07/07/2020;188
08/07/2020;106
09/07/2020;188
