Data,cum_casos
22/03/2020,25
23/03/2020,26
26/03/2020,27
27/03/2020,28
03/04/2020,29
04/04/2020,30
05/04/2020,33
06/04/2020,34
09/04/2020,35
11/04/2020,36
13/04/2020,38
14/04/2020,44
15/04/2020,45
17/04/2020,49
18/04/2020,52
19/04/2020,54
20/04/2020,63
21/04/2020,67
22/04/2020,71
23/04/2020,79
24/04/2020,82
25/04/2020,84
26/04/2020,85
27/04/2020,88
28/04/2020,93
29/04/2020,95
30/04/2020,99
01/05/2020,103
02/05/2020,119
03/05/2020,124
04/05/2020,144
05/05/2020,157
06/05/2020,172
07/05/2020,189
08/05/2020,211
09/05/2020,223
10/05/2020,230
11/05/2020,288
12/05/2020,321
13/05/2020,375
14/05/2020,437
15/05/2020,498
16/05/2020,517
17/05/2020,546
18/05/2020,644
19/05/2020,741
20/05/2020,832
21/05/2020,943
22/05/2020,1052
23/05/2020,1115
24/05/2020,1123
25/05/2020,1284
26/05/2020,1406
27/05/2020,1572
28/05/2020,1719
29/05/2020,1871
30/05/2020,1939
31/05/2020,1963
01/06/2020,2093
02/06/2020,2240
03/06/2020,2414
04/06/2020,2580
05/06/2020,2763
06/06/2020,2891
07/06/2020,2957
08/06/2020,3206
09/06/2020,3403
10/06/2020,3593
11/06/2020,3746
12/06/2020,3852
13/06/2020,3909
14/06/2020,3975
15/06/2020,4180
16/06/2020,4307
17/06/2020,4454
18/06/2020,4616
19/06/2020,4740
20/06/2020,4827
21/06/2020,4889
22/06/2020,5079
23/06/2020,5228
24/06/2020,5388
25/06/2020,5505
26/06/2020,5618
27/06/2020,5694
28/06/2020,5742
29/06/2020,5934
30/06/2020,6100
01/07/2020,6225
02/07/2020,6378
03/07/2020,6517
04/07/2020,6601
05/07/2020,6661
06/07/2020,6835
07/07/2020,7023
08/07/2020,7129
09/07/2020,7317
10/07/2020,7443
11/07/2020,7500
12/07/2020,7543
13/07/2020,7731
14/07/2020,7897
15/07/2020,8048
16/07/2020,8187
17/07/2020,8268
18/07/2020,8332
19/07/2020,8379
20/07/2020,8555
21/07/2020,8697
22/07/2020,8812
23/07/2020,8937
24/07/2020,9028
25/07/2020,9085
26/07/2020,9122
27/07/2020,9258
28/07/2020,9372
29/07/2020,9451
30/07/2020,9582
31/07/2020,9675
01/08/2020,9725
02/08/2020,9751
03/08/2020,9863
04/08/2020,9963
05/08/2020,10052
06/08/2020,10133
07/08/2020,10224
08/08/2020,10264
09/08/2020,10291
10/08/2020,10377
11/08/2020,10458
12/08/2020,10526
13/08/2020,10602
14/08/2020,10675
15/08/2020,10702
16/08/2020,10725
17/08/2020,10788
18/08/2020,10861
19/08/2020,10935
20/08/2020,11011
21/08/2020,11095
22/08/2020,11138
23/08/2020,11170
24/08/2020,11236
25/08/2020,11286
26/08/2020,11355
27/08/2020,11451
28/08/2020,11590
29/08/2020,11673
30/08/2020,11711
31/08/2020,11832
01/09/2020,11913
02/09/2020,11968
03/09/2020,12027
04/09/2020,12083
05/09/2020,12117
06/09/2020,12133
07/09/2020,12184
08/09/2020,12233
09/09/2020,12284
10/09/2020,12341
11/09/2020,12398
12/09/2020,12443
13/09/2020,12460
14/09/2020,12516
15/09/2020,12584
16/09/2020,12632
17/09/2020,12689
18/09/2020,12743
19/09/2020,12769
20/09/2020,12793
21/09/2020,12856
22/09/2020,12916
23/09/2020,12960
24/09/2020,13006
25/09/2020,13062
26/09/2020,13087
27/09/2020,13099
28/09/2020,13133
29/09/2020,13167
30/09/2020,13208
01/10/2020,13222
02/10/2020,13244
03/10/2020,13258
