epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202013,2020-03-27,1,PB,Campina Grande,2504009,city,1,0.24283,1,0,0,0.0,411807,False,False
202013,2020-03-28,2,PB,Campina Grande,2504009,city,2,0.48566,1,0,0,0.0,411807,False,False
202014,2020-03-29,3,PB,Campina Grande,2504009,city,2,0.48566,0,0,0,0.0,411807,False,False
202014,2020-03-30,4,PB,Campina Grande,2504009,city,2,0.48566,0,0,0,0.0,411807,False,False
202014,2020-03-31,5,PB,Campina Grande,2504009,city,2,0.48566,0,0,0,0.0,411807,False,False
202014,2020-04-01,6,PB,Campina Grande,2504009,city,2,0.48566,0,0,0,0.0,411807,False,False
202014,2020-04-02,7,PB,Campina Grande,2504009,city,2,0.48566,0,0,0,0.0,411807,False,False
202014,2020-04-03,8,PB,Campina Grande,2504009,city,2,0.48566,0,0,0,0.0,411807,False,False
202014,2020-04-04,9,PB,Campina Grande,2504009,city,2,0.48566,0,0,0,0.0,411807,False,False
202015,2020-04-05,10,PB,Campina Grande,2504009,city,3,0.7285,1,0,0,0.0,411807,False,False
202015,2020-04-06,11,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202015,2020-04-07,12,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202015,2020-04-08,13,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202015,2020-04-09,14,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202015,2020-04-10,15,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202015,2020-04-11,16,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202016,2020-04-12,17,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202016,2020-04-13,18,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202016,2020-04-14,19,PB,Campina Grande,2504009,city,3,0.7285,0,0,0,0.0,411807,False,False
202016,2020-04-15,20,PB,Campina Grande,2504009,city,4,0.97133,1,0,0,0.0,411807,False,False
202016,2020-04-16,21,PB,Campina Grande,2504009,city,8,1.94266,4,1,1,0.125,411807,False,False
202016,2020-04-17,22,PB,Campina Grande,2504009,city,8,1.94266,0,1,0,0.125,411807,False,False
202016,2020-04-18,23,PB,Campina Grande,2504009,city,12,2.91399,4,1,0,0.0833,411807,False,False
202017,2020-04-19,24,PB,Campina Grande,2504009,city,12,2.91399,0,2,1,0.1667,411807,False,False
202017,2020-04-20,25,PB,Campina Grande,2504009,city,12,2.91399,0,2,0,0.1667,411807,False,False
202017,2020-04-21,26,PB,Campina Grande,2504009,city,20,4.85664,8,2,0,0.1,411807,False,False
202017,2020-04-22,27,PB,Campina Grande,2504009,city,24,5.82797,4,2,0,0.0833,411807,False,False
202017,2020-04-23,28,PB,Campina Grande,2504009,city,30,7.28497,6,2,0,0.0667,411807,False,False
202017,2020-04-24,29,PB,Campina Grande,2504009,city,35,8.49913,5,2,0,0.0571,411807,False,False
202017,2020-04-25,30,PB,Campina Grande,2504009,city,39,9.47046,4,2,0,0.0513,411807,False,False
202018,2020-04-26,31,PB,Campina Grande,2504009,city,39,9.47046,0,2,0,0.0513,411807,False,False
202018,2020-04-27,32,PB,Campina Grande,2504009,city,42,10.19895,3,2,0,0.0476,411807,False,False
202018,2020-04-28,33,PB,Campina Grande,2504009,city,45,10.92745,3,2,0,0.0444,411807,False,False
202018,2020-04-29,34,PB,Campina Grande,2504009,city,51,12.38444,6,2,0,0.0392,411807,False,False
202018,2020-04-30,35,PB,Campina Grande,2504009,city,51,12.38444,0,2,0,0.0392,411807,False,False
202018,2020-05-01,36,PB,Campina Grande,2504009,city,53,12.87011,2,2,0,0.0377,411807,False,False
202018,2020-05-02,37,PB,Campina Grande,2504009,city,61,14.81276,8,2,0,0.0328,411807,False,False
202019,2020-05-03,38,PB,Campina Grande,2504009,city,62,15.0556,1,2,0,0.0323,411807,False,False
202019,2020-05-04,39,PB,Campina Grande,2504009,city,67,16.26976,5,2,0,0.0299,411807,False,False
202019,2020-05-05,40,PB,Campina Grande,2504009,city,74,17.96958,7,2,0,0.027,411807,False,False
202019,2020-05-06,41,PB,Campina Grande,2504009,city,78,18.94091,4,2,0,0.0256,411807,False,False
202019,2020-05-07,42,PB,Campina Grande,2504009,city,89,21.61207,11,2,0,0.0225,411807,False,False
202019,2020-05-08,43,PB,Campina Grande,2504009,city,89,21.61207,0,2,0,0.0225,411807,False,False
202019,2020-05-09,44,PB,Campina Grande,2504009,city,100,24.28322,11,3,1,0.03,411807,False,False
202020,2020-05-10,45,PB,Campina Grande,2504009,city,108,26.22588,8,3,0,0.0278,411807,False,False
202020,2020-05-11,46,PB,Campina Grande,2504009,city,125,30.35403,17,3,0,0.024,411807,False,False
202020,2020-05-12,47,PB,Campina Grande,2504009,city,134,32.53951,9,4,1,0.0299,411807,False,False
202020,2020-05-13,48,PB,Campina Grande,2504009,city,155,37.63899,21,4,0,0.0258,411807,False,False
202020,2020-05-14,49,PB,Campina Grande,2504009,city,160,38.85315,5,4,0,0.025,411807,False,False
202020,2020-05-15,50,PB,Campina Grande,2504009,city,261,63.3792,101,4,0,0.0153,411807,False,False
202020,2020-05-16,51,PB,Campina Grande,2504009,city,280,67.99302,19,5,1,0.0179,411807,False,False
202021,2020-05-17,52,PB,Campina Grande,2504009,city,290,70.42134,10,5,0,0.0172,411807,False,False
202021,2020-05-18,53,PB,Campina Grande,2504009,city,299,72.60683,9,7,2,0.0234,411807,False,False
202021,2020-05-19,54,PB,Campina Grande,2504009,city,326,79.1633,27,7,0,0.0215,411807,False,False
202021,2020-05-20,55,PB,Campina Grande,2504009,city,335,81.34879,9,7,0,0.0209,411807,False,False
202021,2020-05-21,56,PB,Campina Grande,2504009,city,421,102.23236,86,9,2,0.0214,411807,False,False
202021,2020-05-22,57,PB,Campina Grande,2504009,city,590,143.271,169,10,1,0.0169,411807,False,False
