,date,totalCases,deaths,suspects,recovered,tests,vaccinated,vaccinated_second,activeCases,newVaccinated,newVaccinated_second
177,2020-03-18,1,0,,,,,,,,
199,2020-03-19,1,0,,,,,,,,
225,2020-03-20,1,0,,,,,,,,
252,2020-03-21,1,0,,,,,,,,
280,2020-03-22,1,0,,,,,,,,
308,2020-03-23,2,0,206.0,,,,,,,
336,2020-03-24,3,0,206.0,,,,,,,
364,2020-03-25,5,0,206.0,,,,,,,
392,2020-03-26,6,0,206.0,,,,,,,
420,2020-03-27,10,0,206.0,,,,,,,
448,2020-03-28,14,0,206.0,3.0,,,,11.0,,
476,2020-03-29,14,0,206.0,3.0,,,,11.0,,
504,2020-03-30,17,0,90.0,3.0,,,,14.0,,
532,2020-03-31,18,1,90.0,3.0,,,,14.0,,
560,2020-04-01,21,1,90.0,3.0,,,,17.0,,
588,2020-04-02,29,1,90.0,3.0,,,,25.0,,
616,2020-04-03,32,1,90.0,3.0,,,,28.0,,
644,2020-04-04,34,3,90.0,3.0,,,,28.0,,
672,2020-04-05,35,4,90.0,3.0,,,,28.0,,
700,2020-04-06,36,4,90.0,9.0,,,,23.0,,
728,2020-04-07,41,4,1091.0,9.0,,,,28.0,,
756,2020-04-08,55,7,1091.0,9.0,,,,39.0,,
784,2020-04-09,79,11,1091.0,9.0,,,,59.0,,
812,2020-04-10,85,11,1091.0,30.0,,,,44.0,,
840,2020-04-11,101,13,1091.0,30.0,,,,58.0,,
868,2020-04-12,111,13,1091.0,43.0,,,,55.0,,
896,2020-04-13,136,16,1091.0,52.0,,,,68.0,,
924,2020-04-14,152,21,1091.0,52.0,,,,79.0,,
952,2020-04-15,165,24,1091.0,80.0,,,,61.0,,
980,2020-04-16,195,26,1091.0,80.0,,,,89.0,,
1008,2020-04-17,205,28,1091.0,90.0,,,,87.0,,
1036,2020-04-18,236,29,148.0,90.0,,,,117.0,,
1064,2020-04-19,245,32,163.0,99.0,,,,114.0,,
1092,2020-04-20,263,33,163.0,116.0,,,,114.0,,
1120,2020-04-21,301,39,115.0,116.0,,,,146.0,,
1148,2020-04-22,345,40,148.0,116.0,,,,189.0,,
1176,2020-04-23,386,44,148.0,116.0,,,,226.0,,
1204,2020-04-24,447,46,148.0,117.0,,,,284.0,,
1232,2020-04-25,499,49,148.0,117.0,,,,333.0,,
1260,2020-04-26,543,50,148.0,119.0,1881.0,,,374.0,,
1288,2020-04-27,633,53,148.0,119.0,2115.0,,,461.0,,
1316,2020-04-28,698,57,148.0,149.0,2115.0,,,492.0,,
1344,2020-04-29,814,62,148.0,152.0,2115.0,,,600.0,,
1372,2020-04-30,926,67,148.0,156.0,3639.0,,,703.0,,
1400,2020-05-01,1034,74,148.0,177.0,3639.0,,,783.0,,
1428,2020-05-02,1169,76,148.0,177.0,3639.0,,,916.0,,
1456,2020-05-03,1219,79,148.0,227.0,3176.0,,,913.0,,
1484,2020-05-04,1361,85,148.0,227.0,3176.0,,,1049.0,,
1512,2020-05-05,1493,92,148.0,310.0,3176.0,,,1091.0,,
1540,2020-05-06,1657,101,148.0,320.0,3904.0,,,1236.0,,
1568,2020-05-07,1849,111,148.0,490.0,3904.0,,,1248.0,,
1596,2020-05-08,2031,114,148.0,490.0,3904.0,,,1427.0,,
1624,2020-05-09,2156,124,148.0,490.0,3904.0,,,1542.0,,
1652,2020-05-10,2341,135,148.0,537.0,4867.0,,,1669.0,,
1680,2020-05-11,2525,139,148.0,537.0,4867.0,,,1849.0,,
1708,2020-05-12,2777,154,148.0,537.0,4867.0,,,2086.0,,
1736,2020-05-13,3045,157,148.0,601.0,4867.0,,,2287.0,,
1764,2020-05-14,3361,160,148.0,731.0,7594.0,,,2470.0,,
1792,2020-05-15,3739,170,148.0,731.0,7594.0,,,2838.0,,
1820,2020-05-16,4063,183,148.0,731.0,7594.0,,,3149.0,,
1848,2020-05-17,4347,194,148.0,1171.0,7594.0,,,2982.0,,
1876,2020-05-18,4786,207,148.0,1462.0,10142.0,,,3117.0,,
1904,2020-05-19,5300,219,148.0,1747.0,10142.0,,,3334.0,,
1932,2020-05-20,5838,230,148.0,1847.0,10142.0,,,3761.0,,
1960,2020-05-21,6238,245,148.0,1997.0,10142.0,,,3996.0,,
1988,2020-05-22,6882,248,148.0,2003.0,13411.0,,,4631.0,,
2016,2020-05-23,7508,258,148.0,2203.0,13411.0,,,5047.0,,
2044,2020-05-24,7823,272,148.0,2208.0,13411.0,,,5343.0,,
2072,2020-05-25,8016,279,148.0,2218.0,15300.0,,,5519.0,,
2100,2020-05-26,8919,286,148.0,2225.0,32702.0,,,6408.0,,
2128,2020-05-27,10209,298,148.0,2232.0,32702.0,,,7679.0,,
2156,2020-05-28,11132,318,148.0,2430.0,32702.0,,,8384.0,,
2184,2020-05-29,12011,327,148.0,2435.0,42170.0,,,9249.0,,
2212,2020-05-30,12862,347,148.0,2435.0,42170.0,,,10080.0,,
2240,2020-05-31,13162,360,148.0,2492.0,42170.0,,,10310.0,,
2268,2020-06-01,13695,370,148.0,2637.0,42170.0,,,10688.0,,
2296,2020-06-02,14859,379,148.0,2637.0,44912.0,,,11843.0,,
2324,2020-06-03,16018,414,148.0,2637.0,44912.0,,,12967.0,,
2352,2020-06-04,17579,438,148.0,2637.0,44912.0,,,14504.0,,
2380,2020-06-05,18579,451,3427.0,3945.0,44912.0,,,14183.0,,
2408,2020-06-06,19787,467,3427.0,4188.0,63161.0,,,15132.0,,
2436,2020-06-07,20310,484,3427.0,4236.0,63161.0,,,15590.0,,
2464,2020-06-08,20951,507,3427.0,4340.0,63161.0,,,16104.0,,
2492,2020-06-09,22452,534,3427.0,4671.0,65674.0,,,17247.0,,
2520,2020-06-10,24032,559,3427.0,4671.0,65674.0,,,18802.0,,
2548,2020-06-11,25370,570,3427.0,5620.0,65674.0,,,19180.0,,
2576,2020-06-12,26556,610,3427.0,5620.0,65674.0,,,20326.0,,
2604,2020-06-13,27454,623,3427.0,6477.0,82998.0,,,20354.0,,
2632,2020-06-14,28013,633,3427.0,6689.0,82998.0,,,20691.0,,
2660,2020-06-15,28668,656,3427.0,6890.0,82998.0,,,21122.0,,
2688,2020-06-16,30128,671,3427.0,7500.0,82998.0,,,21957.0,,
2716,2020-06-17,31712,696,3427.0,7972.0,91271.0,,,23044.0,,
2744,2020-06-18,33382,709,3427.0,7978.0,91271.0,,,24695.0,,
2772,2020-06-19,35098,724,3951.0,9366.0,91271.0,,,25008.0,,
2800,2020-06-20,36526,743,3951.0,9956.0,91271.0,,,25827.0,,
2828,2020-06-21,36789,766,3951.0,10213.0,105130.0,,,25810.0,,
