,date,totalCases,deaths,suspects,recovered,tests,vaccinated,vaccinated_second,activeCases,newVaccinated,newVaccinated_second
72,2020-03-12,2,0,,,,,,,,
87,2020-03-13,2,0,,,,,,,,
103,2020-03-14,7,0,,,,,,,,
120,2020-03-15,8,0,,,,,,,,
138,2020-03-16,8,0,,,,,,,,
157,2020-03-17,18,0,,,,,,,,
178,2020-03-18,19,0,,,,,,,,
200,2020-03-19,28,0,,,,,,,,
226,2020-03-20,31,0,,,,,,,,
253,2020-03-21,33,0,,,,,,,,
281,2020-03-22,37,0,,,,,,,,
309,2020-03-23,42,0,,3.0,,,,39.0,,
337,2020-03-24,42,0,,5.0,,,,37.0,,
365,2020-03-25,46,1,,5.0,,,,40.0,,
393,2020-03-26,48,3,,5.0,,,,40.0,,
421,2020-03-27,57,4,,5.0,,,,48.0,,
449,2020-03-28,68,5,,9.0,,,,54.0,,
477,2020-03-29,73,5,,9.0,,,,59.0,,
505,2020-03-30,78,6,,9.0,,,,63.0,,
533,2020-03-31,87,6,,9.0,,,,72.0,,
561,2020-04-01,95,8,,9.0,,,,78.0,,
589,2020-04-02,106,9,,9.0,,,,88.0,,
617,2020-04-03,136,10,,9.0,,,,117.0,,
645,2020-04-04,176,14,,9.0,,,,153.0,,
673,2020-04-05,201,21,,9.0,,,,171.0,,
701,2020-04-06,223,30,,25.0,,,,168.0,,
729,2020-04-07,352,34,,32.0,,,,286.0,,
757,2020-04-08,401,46,,32.0,,,,323.0,,
785,2020-04-09,555,56,,32.0,,,,467.0,,
813,2020-04-10,684,65,,44.0,,,,575.0,,
841,2020-04-11,816,72,,45.0,,,,699.0,,
869,2020-04-12,960,85,,46.0,,,,829.0,,
897,2020-04-13,1154,102,,46.0,,,,1006.0,,
925,2020-04-14,1284,115,,68.0,,,,1101.0,,
953,2020-04-15,1484,143,,69.0,,,,1272.0,,
981,2020-04-16,1683,160,,86.0,,,,1437.0,,
1009,2020-04-17,2006,186,,88.0,,,,1732.0,,
1037,2020-04-18,2193,205,,94.0,,,,1894.0,,
