ds,y
2020-04-21,1
2020-04-26,2
2020-05-07,3
2020-05-11,4
2020-05-12,5
2020-05-13,8
2020-05-14,11
2020-05-15,17
2020-05-16,18
2020-05-17,19
2020-05-18,20
2020-05-19,23
2020-05-21,25
2020-05-22,30
2020-05-23,31
2020-05-25,36
2020-05-26,40
2020-05-27,42
2020-05-28,43
2020-05-29,48
2020-05-31,50
2020-06-01,55
2020-06-02,59
2020-06-03,65
2020-06-04,68
2020-06-05,74
2020-06-06,82
2020-06-07,86
2020-06-08,90
2020-06-09,98
2020-06-10,101
2020-06-11,105
2020-06-12,109
2020-06-13,111
2020-06-14,113
2020-06-15,117
2020-06-16,122
2020-06-17,129
2020-06-18,149
2020-06-19,151
2020-06-20,156
2020-06-21,157
2020-06-22,162
2020-06-23,175
2020-06-24,177
2020-06-25,187
2020-06-26,189
2020-06-27,193
2020-06-28,194
2020-06-29,199
2020-06-30,210
2020-07-01,215
2020-07-02,224
2020-07-03,228
2020-07-04,230
2020-07-05,231
2020-07-06,240
2020-07-07,250
2020-07-08,255
2020-07-09,266
2020-07-10,274
2020-07-11,277
2020-07-12,279
2020-07-13,285
2020-07-14,297
2020-07-15,305
2020-07-16,310
2020-07-17,314
2020-07-18,318
2020-07-19,320
2020-07-20,326
2020-07-21,333
2020-07-22,339
2020-07-23,346
2020-07-24,350
2020-07-25,351
2020-07-26,352
2020-07-27,353
2020-07-28,363
2020-07-29,367
2020-07-30,374
2020-07-31,379
2020-08-01,380
2020-08-02,381
2020-08-03,386
2020-08-04,395
2020-08-05,402
2020-08-06,411
2020-08-07,414
2020-08-08,415
2020-08-09,416
2020-08-10,419
2020-08-11,424
2020-08-12,428
2020-08-13,429
2020-08-14,433
2020-08-17,435
2020-08-18,439
2020-08-19,444
2020-08-20,450
2020-08-21,453
2020-08-23,454
2020-08-24,459
2020-08-26,463
2020-08-27,467
2020-08-28,478
2020-08-29,489
2020-08-30,490
2020-08-31,492
2020-09-01,494
2020-09-02,497
2020-09-03,499
2020-09-04,504
2020-09-05,506
2020-09-06,507
2020-09-07,508
2020-09-08,511
2020-09-09,513
2020-09-12,516
2020-09-14,522
2020-09-15,523
2020-09-16,526
2020-09-17,529
2020-09-18,533
2020-09-19,534
2020-09-20,535
2020-09-21,537
2020-09-22,544
2020-09-23,545
2020-09-24,546
2020-09-25,549
2020-09-26,550
2020-09-28,553
2020-09-29,555
2020-09-30,559
2020-10-01,560
2020-10-02,561
2020-10-06,562
2020-10-07,564
2020-10-08,565
2020-10-09,566
2020-10-14,569
2020-10-16,571
2020-10-17,572
2020-10-19,573
2020-10-20,575
2020-10-22,576
2020-10-23,578
2020-10-26,579
2020-10-27,580
2020-10-28,582
2020-10-30,584
2020-11-04,585
2020-11-05,587
2020-11-06,588
2020-11-07,589
2020-11-08,590
2020-11-10,591
2020-11-11,592
2020-11-12,593
2020-11-15,594
2020-11-17,598
2020-11-24,600
2020-11-25,602
2020-11-26,604
2020-11-27,605
2020-11-30,607
2020-12-02,609
2020-12-03,610
2020-12-06,611
2020-12-08,612
2020-12-10,613
2020-12-14,614
2020-12-15,615
2020-12-17,617
2020-12-18,619
2020-12-21,623
2020-12-22,624
2020-12-23,625
2020-12-24,626
2020-12-25,627
2020-12-28,632
2020-12-29,634
2020-12-30,635
2021-01-01,637
2021-01-03,638
2021-01-05,640
2021-01-06,641
2021-01-07,642
2021-01-10,643
2021-01-11,648
2021-01-12,651
2021-01-13,652
2021-01-15,657
2021-01-17,659
2021-01-20,661
2021-01-21,665
2021-01-23,666
2021-01-24,667
2021-01-25,669
2021-01-28,673
2021-01-29,674
2021-01-30,675
2021-02-01,677
2021-02-03,678
2021-02-04,679
2021-02-08,680
2021-02-09,688
2021-02-11,690
2021-02-12,692
2021-02-13,693
2021-02-14,694
2021-02-16,695
2021-02-18,698
2021-02-19,699
2021-02-23,701
2021-02-24,702
2021-02-25,706
2021-02-26,707
2021-03-02,709
2021-03-03,710
2021-03-04,711
2021-03-05,713
2021-03-06,715
2021-03-07,716
2021-03-08,717
2021-03-09,720
2021-03-11,722
2021-03-12,724
2021-03-13,725
2021-03-14,726
2021-03-15,727
2021-03-16,730
2021-03-17,731
2021-03-20,733
2021-03-22,734
2021-03-24,737
2021-03-25,738
2021-03-26,740
2021-03-27,741
2021-03-29,742
2021-03-30,746
2021-04-03,747
2021-04-05,749
2021-04-06,751
2021-04-07,754
2021-04-08,755
2021-04-10,756
2021-04-12,760
2021-04-13,763
2021-04-16,764
2021-04-17,765
2021-04-19,767
2021-04-23,768
2021-04-24,769
2021-04-26,773
2021-04-28,778
2021-05-04,779
2021-05-05,780
2021-05-06,781
2021-05-07,782
2021-05-10,784
2021-05-11,786
2021-05-12,787
2021-05-13,789
2021-05-14,792
2021-05-17,793
2021-05-18,794
2021-05-20,797
2021-05-21,804
2021-05-23,805
2021-05-25,806
2021-05-26,809
2021-05-27,812
2021-05-28,815
2021-05-29,821
2021-05-30,825
2021-05-31,836
2021-06-01,839
2021-06-02,843
2021-06-03,845
2021-06-04,846
2021-06-05,851
2021-06-06,854
2021-06-07,856
2021-06-08,858
2021-06-09,863
2021-06-10,868
2021-06-11,872
2021-06-12,874
2021-06-14,875
2021-06-15,879
2021-06-16,880
2021-06-17,882
2021-06-18,886
2021-06-19,887
2021-06-20,889
2021-06-21,896
2021-06-22,898
2021-06-23,899
2021-06-24,900
2021-06-27,901
2021-06-30,903
