ds,y
2020-03-22,1594
2020-03-23,1952
2020-03-24,2255
2020-03-25,2566
2020-03-26,2990
2020-03-27,3476
2020-03-28,3955
2020-03-29,4315
2020-03-30,4663
2020-03-31,5824
2020-04-01,6931
2020-04-02,8100
2020-04-03,9212
2020-04-04,10381
2020-04-05,11424
2020-04-06,12262
2020-04-07,14083
2020-04-08,16258
2020-04-09,18195
2020-04-10,19937
2020-04-11,20992
2020-04-12,22456
2020-04-13,23868
2020-04-14,25777
2020-04-15,29019
2020-04-16,31101
2020-04-17,34397
2020-04-18,37175
2020-04-19,39197
2020-04-20,40937
2020-04-21,43679
2020-04-22,46419
2020-04-23,50298
2020-04-24,54208
2020-04-25,59507
2020-04-26,63222
2020-04-27,67367
2020-04-28,73598
2020-04-29,79799
2020-04-30,87121
2020-05-01,92665
2020-05-02,97578
2020-05-03,102023
2020-05-04,109005
2020-05-05,116412
2020-05-06,126951
2020-05-07,136687
2020-05-08,147089
2020-05-09,157251
2020-05-10,163510
2020-05-11,169729
2020-05-12,179333
2020-05-13,191028
2020-05-14,205158
2020-05-15,220620
2020-05-16,234675
2020-05-17,242344
2020-05-18,256899
2020-05-19,274382
2020-05-20,294603
2020-05-21,312746
2020-05-22,334544
2020-05-23,351554
2020-05-24,366031
2020-05-25,378810
2020-05-26,395133
2020-05-27,415331
2020-05-28,443664
2020-05-29,470554
2020-05-30,502874
2020-05-31,516096
2020-06-01,531245
2020-06-02,562917
2020-06-03,589002
2020-06-04,620952
2020-06-05,653050
2020-06-06,676840
2020-06-07,694825
2020-06-08,712160
2020-06-09,743852
2020-06-10,777641
2020-06-11,806399
2020-06-12,830654
2020-06-13,851843
2020-06-14,868635
2020-06-15,893251
2020-06-16,930233
2020-06-17,961153
2020-06-18,986670
2020-06-19,1042725
2020-06-20,1071579
2020-06-21,1088145
2020-06-22,1114633
2020-06-23,1154133
2020-06-24,1195186
2020-06-25,1236650
2020-06-26,1281531
2020-06-27,1318449
2020-06-28,1351439
2020-06-29,1372878
2020-06-30,1412558
2020-07-01,1459383
2020-07-02,1503781
2020-07-03,1546819
2020-07-04,1580385
2020-07-05,1605577
2020-07-06,1630029
2020-07-07,1676725
2020-07-08,1721974
2020-07-09,1764930
2020-07-10,1809240
2020-07-11,1844186
2020-07-12,1867843
2020-07-13,1890382
2020-07-14,1933152
2020-07-15,1973716
2020-07-16,2017554
2020-07-17,2052234
2020-07-18,2077928
2020-07-19,2101144
2020-07-20,2124152
2020-07-21,2171079
2020-07-22,2237229
2020-07-23,2294555
2020-07-24,2351305
2020-07-25,2398833
2020-07-26,2421503
2020-07-27,2449501
2020-07-28,2503496
2020-07-29,2558935
2020-07-30,2617096
2020-07-31,2670238
2020-08-01,2711763
2020-08-02,2735981
2020-08-03,2755928
2020-08-04,2811939
2020-08-05,2868616
2020-08-06,2922350
2020-08-07,2972008
2020-08-08,3018122
2020-08-09,3040863
2020-08-10,3067485
2020-08-11,3118070
2020-08-12,3172946
2020-08-13,3233770
2020-08-14,3283227
2020-08-15,3320078
2020-08-16,3343114
2020-08-17,3367250
2020-08-18,3416112
2020-08-19,3464419
2020-08-20,3507370
2020-08-21,3539936
2020-08-22,3586055
2020-08-23,3607890
2020-08-24,3631014
2020-08-25,3677303
2020-08-26,3725436
2020-08-27,3767790
2020-08-28,3811784
2020-08-29,3849381
2020-08-30,3864046
2020-08-31,3913910
2020-09-01,3958085
2020-09-02,4004680
2020-09-03,4051501
2020-09-04,4091389
2020-09-05,4125264
2020-09-06,4139961
2020-09-07,4149501
2020-09-08,4168262
2020-09-09,4205375
2020-09-10,4246120
2020-09-11,4287571
2020-09-12,4318440
2020-09-13,4332459
2020-09-14,4352784
2020-09-15,4387523
2020-09-16,4424899
2020-09-17,4461298
2020-09-18,4501015
2020-09-19,4530570
2020-09-20,4546008
