ds,y
2020-03-23,1
2020-04-14,2
2020-04-23,3
2020-04-24,4
2020-05-02,6
2020-05-03,7
2020-05-04,9
2020-05-05,11
2020-05-08,14
2020-05-10,15
2020-05-11,18
2020-05-12,19
2020-05-13,21
2020-05-14,24
2020-05-15,29
2020-05-17,31
2020-05-18,33
2020-05-19,39
2020-05-20,42
2020-05-21,44
2020-05-22,47
2020-05-23,49
2020-05-25,55
2020-05-26,59
2020-05-27,68
2020-05-28,82
2020-05-29,84
2020-05-30,88
2020-06-01,91
2020-06-02,100
2020-06-03,109
2020-06-04,123
2020-06-05,131
2020-06-06,134
2020-06-07,139
2020-06-08,156
2020-06-09,171
2020-06-10,183
2020-06-11,189
2020-06-12,198
2020-06-13,203
2020-06-14,205
2020-06-15,215
2020-06-16,220
2020-06-17,222
2020-06-18,233
2020-06-19,244
2020-06-20,250
2020-06-21,251
2020-06-22,265
2020-06-23,277
2020-06-24,296
2020-06-25,300
2020-06-26,310
2020-06-27,317
2020-06-28,321
2020-06-29,334
2020-06-30,343
2020-07-01,357
2020-07-02,365
2020-07-03,368
2020-07-04,372
2020-07-05,376
2020-07-06,387
2020-07-07,401
2020-07-08,410
2020-07-09,424
2020-07-10,435
2020-07-11,438
2020-07-12,440
2020-07-13,450
2020-07-14,463
2020-07-15,470
2020-07-16,480
2020-07-17,486
2020-07-18,493
2020-07-19,495
2020-07-20,502
2020-07-21,510
2020-07-22,513
2020-07-23,517
2020-07-25,523
2020-07-26,525
2020-07-27,528
2020-07-28,535
2020-07-29,539
2020-07-30,549
2020-07-31,555
2020-08-01,558
2020-08-02,561
2020-08-03,564
2020-08-04,568
2020-08-05,570
2020-08-06,574
2020-08-07,579
2020-08-08,583
2020-08-10,589
2020-08-11,591
2020-08-13,595
2020-08-14,597
2020-08-15,598
2020-08-16,600
2020-08-17,604
2020-08-18,607
2020-08-19,612
2020-08-20,614
2020-08-21,620
2020-08-22,622
2020-08-23,623
2020-08-24,626
2020-08-25,628
2020-08-26,633
2020-08-27,640
2020-08-28,646
2020-08-29,654
2020-08-31,668
2020-09-01,672
2020-09-02,674
2020-09-03,678
2020-09-04,681
2020-09-05,682
2020-09-07,683
2020-09-08,684
2020-09-09,686
2020-09-10,689
2020-09-11,691
2020-09-12,693
2020-09-14,699
2020-09-15,708
2020-09-16,710
2020-09-17,716
2020-09-18,721
2020-09-19,723
2020-09-20,724
2020-09-21,726
2020-09-22,728
2020-09-23,731
2020-09-24,732
2020-09-25,734
2020-09-26,735
2020-09-28,736
2020-09-29,739
2020-09-30,740
2020-10-04,741
2020-10-05,742
2020-10-06,746
2020-10-07,749
2020-10-08,751
2020-10-13,753
2020-10-14,754
2020-10-15,757
2020-10-16,759
2020-10-19,762
2020-10-21,763
2020-10-22,765
2020-10-23,768
2020-10-26,770
2020-10-27,772
2020-10-28,773
2020-10-31,774
2020-11-01,775
2020-11-04,780
2020-11-05,783
2020-11-06,788
2020-11-07,790
2020-11-10,793
2020-11-12,795
2020-11-13,797
2020-11-16,800
2020-11-18,801
2020-11-19,804
2020-11-21,807
2020-11-22,810
2020-11-23,816
2020-11-24,818
2020-11-25,820
2020-11-26,824
2020-11-27,826
2020-11-28,828
2020-11-29,829
2020-11-30,837
2020-12-01,838
2020-12-02,840
2020-12-03,842
2020-12-04,843
2020-12-05,845
2020-12-07,847
2020-12-08,848
2020-12-10,853
2020-12-11,854
2020-12-13,855
2020-12-14,856
2020-12-15,859
2020-12-17,862
2020-12-18,867
2020-12-19,869
2020-12-21,872
2020-12-22,877
2020-12-23,879
2020-12-24,882
2020-12-26,886
2020-12-27,887
2020-12-28,898
2020-12-29,903
2020-12-30,914
2020-12-31,916
2021-01-01,917
2021-01-03,918
2021-01-04,923
2021-01-05,925
2021-01-06,928
2021-01-07,933
2021-01-08,936
2021-01-09,937
2021-01-10,938
2021-01-11,941
2021-01-12,944
2021-01-13,945
2021-01-15,946
2021-01-17,949
2021-01-18,954
2021-01-21,966
2021-01-22,967
2021-01-24,969
2021-01-25,976
2021-01-26,979
2021-01-27,981
2021-01-28,983
2021-01-29,987
2021-01-31,988
2021-02-01,990
2021-02-02,991
2021-02-03,992
2021-02-04,994
2021-02-05,995
2021-02-07,996
2021-02-08,998
2021-02-09,1002
2021-02-10,1005
2021-02-11,1009
2021-02-12,1013
2021-02-16,1018
2021-02-18,1019
2021-02-19,1024
