ds,y
2020-02-24,2
2020-03-22,3
2020-04-13,4
2020-04-22,5
2020-05-02,6
2020-05-11,8
2020-05-12,10
2020-05-13,16
2020-05-14,22
2020-05-15,24
2020-05-17,26
2020-05-18,29
2020-05-19,34
2020-05-20,37
2020-05-21,39
2020-05-22,44
2020-05-23,45
2020-05-24,47
2020-05-25,57
2020-05-26,64
2020-05-27,77
2020-05-28,84
2020-05-29,91
2020-05-30,92
2020-06-01,102
2020-06-02,110
2020-06-03,121
2020-06-04,129
2020-06-05,145
2020-06-06,151
2020-06-07,155
2020-06-08,171
2020-06-09,182
2020-06-10,195
2020-06-11,199
2020-06-12,203
2020-06-13,207
2020-06-14,210
2020-06-15,218
2020-06-16,226
2020-06-17,236
2020-06-18,247
2020-06-19,260
2020-06-20,268
2020-06-21,273
2020-06-22,288
2020-06-23,299
2020-06-24,309
2020-06-25,315
2020-06-26,318
2020-06-27,321
2020-06-28,323
2020-06-29,339
2020-06-30,360
2020-07-01,369
2020-07-02,380
2020-07-03,388
2020-07-04,394
2020-07-05,400
2020-07-06,413
2020-07-07,434
2020-07-08,443
2020-07-09,455
2020-07-10,467
2020-07-11,472
2020-07-12,480
2020-07-13,502
2020-07-14,517
2020-07-15,523
2020-07-16,538
2020-07-17,547
2020-07-18,551
2020-07-19,556
2020-07-20,566
2020-07-21,573
2020-07-22,581
2020-07-23,587
2020-07-24,596
2020-07-25,597
2020-07-26,599
2020-07-27,608
2020-07-28,620
2020-07-29,631
2020-07-30,638
2020-07-31,644
2020-08-01,649
2020-08-02,655
2020-08-03,660
2020-08-04,669
2020-08-05,671
2020-08-06,680
2020-08-07,684
2020-08-08,685
2020-08-09,688
2020-08-10,691
2020-08-11,697
2020-08-12,705
2020-08-13,709
2020-08-14,716
2020-08-15,718
2020-08-16,720
2020-08-17,727
2020-08-18,733
2020-08-19,736
2020-08-20,742
2020-08-21,750
2020-08-22,754
2020-08-23,756
2020-08-24,760
2020-08-25,761
2020-08-26,765
2020-08-27,770
2020-08-28,781
2020-08-29,789
2020-08-31,799
2020-09-01,800
2020-09-02,807
2020-09-03,810
2020-09-04,813
2020-09-05,814
2020-09-06,815
2020-09-07,819
2020-09-08,821
2020-09-09,824
2020-09-10,826
2020-09-11,827
2020-09-12,828
2020-09-13,831
2020-09-14,834
2020-09-15,838
2020-09-16,841
2020-09-17,846
2020-09-18,848
2020-09-19,851
2020-09-20,853
2020-09-21,857
2020-09-22,858
2020-09-23,860
2020-09-24,865
2020-09-27,868
2020-09-28,869
2020-09-29,870
2020-10-02,871
2020-10-04,872
2020-10-05,873
2020-10-06,875
2020-10-07,876
2020-10-08,877
2020-10-09,878
2020-10-11,879
2020-10-13,880
2020-10-14,884
2020-10-15,885
2020-10-16,886
2020-10-19,890
2020-10-20,894
2020-10-21,896
2020-10-22,901
2020-10-25,902
2020-10-26,906
2020-10-27,907
2020-10-30,908
2020-11-03,909
2020-11-04,910
2020-11-05,911
2020-11-06,914
2020-11-09,916
2020-11-10,918
2020-11-11,920
2020-11-12,921
2020-11-14,922
2020-11-16,924
2020-11-17,925
2020-11-19,928
2020-11-22,930
2020-11-26,934
2020-11-27,937
2020-11-28,938
2020-11-30,940
2020-12-01,942
2020-12-02,945
2020-12-03,946
2020-12-06,947
2020-12-08,948
2020-12-09,951
2020-12-10,954
2020-12-11,955
2020-12-13,956
2020-12-14,958
2020-12-15,961
2020-12-16,964
2020-12-17,966
2020-12-18,971
2020-12-20,975
2020-12-21,978
2020-12-22,984
2020-12-23,986
2020-12-24,989
2020-12-25,990
2020-12-26,992
2020-12-28,995
2020-12-29,999
2020-12-30,1001
2021-01-01,1002
2021-01-05,1005
2021-01-06,1008
2021-01-07,1020
2021-01-08,1023
2021-01-10,1027
2021-01-11,1030
2021-01-12,1035
2021-01-13,1037
2021-01-14,1038
2021-01-16,1039
2021-01-17,1040
2021-01-18,1043
2021-01-20,1044
2021-01-21,1046
2021-01-22,1047
2021-01-24,1049
2021-01-25,1052
2021-01-26,1054
2021-01-28,1058
2021-01-29,1059
2021-01-30,1060
2021-02-01,1061
2021-02-04,1065
2021-02-05,1066
2021-02-06,1068
2021-02-08,1069
2021-02-09,1075
2021-02-10,1076
2021-02-11,1077
2021-02-12,1081
2021-02-14,1082
2021-02-15,1086
2021-02-16,1087
2021-02-18,1091
2021-02-19,1092
2021-02-23,1093
2021-02-25,1097
2021-02-26,1098
2021-03-02,1101
2021-03-03,1105
2021-03-04,1107
2021-03-05,1116
2021-03-06,1119
2021-03-08,1122
2021-03-13,1123
2021-03-14,1124
2021-03-15,1126
2021-03-16,1127
2021-03-17,1130
2021-03-18,1134
2021-03-19,1135
2021-03-21,1137
2021-03-22,1140
2021-03-23,1141
2021-03-24,1143
2021-03-25,1146
2021-03-26,1149
2021-03-27,1150
2021-03-28,1151
2021-03-29,1152
2021-03-30,1155
2021-03-31,1157
2021-04-01,1159
2021-04-04,1160
2021-04-05,1161
2021-04-06,1163
2021-04-07,1168
2021-04-08,1169
2021-04-10,1171
2021-04-11,1173
2021-04-12,1175
2021-04-13,1179
2021-04-14,1182
2021-04-15,1183
2021-04-16,1187
2021-04-18,1188
2021-04-20,1190
2021-04-22,1192
2021-04-24,1193
2021-04-25,1194
2021-04-26,1197
2021-04-27,1198
2021-04-28,1203
2021-05-02,1204
2021-05-03,1206
2021-05-04,1208
2021-05-05,1209
2021-05-06,1210
2021-05-07,1214
2021-05-08,1215
2021-05-09,1217
2021-05-10,1219
2021-05-11,1220
2021-05-13,1224
2021-05-14,1226
2021-05-15,1228
2021-05-16,1233
2021-05-17,1234
2021-05-20,1237
2021-05-21,1241
2021-05-22,1242
2021-05-24,1244
2021-05-25,1247
2021-05-26,1252
2021-05-27,1261
2021-05-28,1264
2021-05-29,1269
2021-05-30,1271
2021-05-31,1277
2021-06-01,1290
2021-06-02,1295
2021-06-03,1296
2021-06-04,1300
2021-06-05,1303
2021-06-06,1307
2021-06-08,1310
2021-06-09,1311
2021-06-10,1315
2021-06-11,1319
2021-06-12,1320
2021-06-13,1326
2021-06-14,1336
2021-06-15,1338
2021-06-16,1341
2021-06-17,1342
2021-06-18,1344
2021-06-19,1345
2021-06-20,1346
2021-06-21,1350
2021-06-23,1352
2021-06-24,1355
2021-06-25,1360
2021-06-26,1362
2021-06-28,1363
2021-06-30,1365
