ds,y
2020-03-22,1
2020-03-23,2
2020-03-24,3
2020-03-25,5
2020-03-26,6
2020-03-27,10
2020-03-28,14
2020-03-29,14
2020-03-30,17
2020-03-31,18
2020-04-01,21
2020-04-02,29
2020-04-03,32
2020-04-04,34
2020-04-05,35
2020-04-06,36
2020-04-07,41
2020-04-08,55
2020-04-09,79
2020-04-10,85
2020-04-11,101
2020-04-12,111
2020-04-13,136
2020-04-14,152
2020-04-15,165
2020-04-16,195
2020-04-17,205
2020-04-18,236
2020-04-19,245
2020-04-20,263
2020-04-21,301
2020-04-22,345
2020-04-23,386
2020-04-24,447
2020-04-25,499
2020-04-26,543
2020-04-27,633
2020-04-28,698
2020-04-29,814
2020-04-30,926
2020-05-01,1034
2020-05-02,1169
2020-05-03,1219
2020-05-04,1361
2020-05-05,1493
2020-05-06,1657
2020-05-07,1849
2020-05-08,2031
2020-05-09,2156
2020-05-10,2341
2020-05-11,2525
2020-05-12,2777
2020-05-13,3045
2020-05-14,3361
2020-05-15,3739
2020-05-16,4063
2020-05-17,4347
2020-05-18,4786
2020-05-19,5300
2020-05-20,5838
2020-05-21,6238
2020-05-22,6882
2020-05-23,7508
2020-05-24,7823
2020-05-25,8016
2020-05-26,8919
2020-05-27,10209
2020-05-28,11132
2020-05-29,12011
2020-05-30,12862
2020-05-31,13162
2020-06-01,13695
2020-06-02,14859
2020-06-03,16018
2020-06-04,17579
2020-06-05,18579
2020-06-06,19787
2020-06-07,20310
2020-06-08,20951
2020-06-09,22452
2020-06-10,24032
2020-06-11,25370
2020-06-12,26556
2020-06-13,27454
2020-06-14,28013
2020-06-15,28668
2020-06-16,30128
2020-06-17,31712
2020-06-18,33382
2020-06-19,35098
2020-06-20,36526
2020-06-21,36789
2020-06-22,37258
2020-06-23,39004
2020-06-24,39917
2020-06-25,40829
2020-06-26,42837
2020-06-27,44247
2020-06-28,44684
2020-06-29,45062
2020-06-30,46962
2020-07-01,48180
2020-07-02,49541
2020-07-03,50770
2020-07-04,52311
2020-07-05,52733
2020-07-06,53151
2020-07-07,54807
2020-07-08,56349
2020-07-09,57619
2020-07-10,59123
2020-07-11,60426
2020-07-12,60789
2020-07-13,61113
2020-07-14,62467
2020-07-15,63944
2020-07-16,65428
2020-07-17,66352
2020-07-18,66976
2020-07-19,67387
2020-07-20,67685
2020-07-21,68844
2020-07-22,70972
2020-07-23,73104
2020-07-24,74550
2020-07-25,75723
2020-07-26,76153
2020-07-27,76693
2020-07-28,78175
2020-07-29,79898
2020-07-30,81108
2020-07-31,82794
2020-08-01,83461
2020-08-02,84008
2020-08-03,84211
2020-08-04,85760
2020-08-05,87071
2020-08-06,87867
2020-08-07,89117
2020-08-08,89893
2020-08-09,90082
2020-08-10,90366
2020-08-11,91819
2020-08-12,92897
2020-08-13,93794
2020-08-14,94660
2020-08-15,95588
2020-08-16,96033
2020-08-17,96223
2020-08-18,97497
2020-08-19,98494
2020-08-20,99445
2020-08-21,100290
2020-08-22,100970
2020-08-23,101132
2020-08-24,101303
2020-08-25,102208
2020-08-26,103213
2020-08-27,104096
2020-08-28,104803
2020-08-29,105531
2020-08-30,105661
2020-08-31,105778
2020-09-01,106605
2020-09-02,107384
2020-09-03,108182
2020-09-04,108925
2020-09-05,109530
2020-09-06,109673
2020-09-07,109706
2020-09-08,109860
2020-09-09,110727
2020-09-10,111495
2020-09-11,112018
2020-09-12,112706
2020-09-13,112961
2020-09-14,113163
2020-09-15,113903
2020-09-16,114582
2020-09-17,115359
2020-09-18,115966
2020-09-19,116588
2020-09-20,116736
2020-09-21,116879
2020-09-22,117495
2020-09-23,118048
2020-09-24,118567
2020-09-25,119134
2020-09-26,119731
2020-09-27,119783
2020-09-28,119987
2020-09-29,120654
2020-09-30,121267
2020-10-01,121809
2020-10-02,122273
2020-10-03,122681
2020-10-04,122713
2020-10-05,122890
2020-10-06,123564
2020-10-07,124315
2020-10-08,124749
2020-10-09,125285
2020-10-10,125713
2020-10-11,125877
2020-10-12,125933
2020-10-13,126073
2020-10-14,126791
2020-10-15,127456
2020-10-16,128032
2020-10-17,128416
2020-10-18,128435
2020-10-19,128549
2020-10-20,129045
2020-10-21,129414
2020-10-22,129731
2020-10-23,130225
2020-10-24,130658
2020-10-25,130781
2020-10-26,130916
2020-10-27,131435
2020-10-28,131979
2020-10-29,132231
2020-10-30,132730
2020-10-31,133149
2020-11-01,133220
2020-11-02,133286
2020-11-03,133379
2020-11-04,133958
2020-11-05,134297
2020-11-06,134841
2020-11-07,135325
2020-11-08,135517
2020-11-09,135604
2020-11-10,136029
2020-11-11,136640
2020-11-12,137474
2020-11-13,137942
2020-11-14,138464
2020-11-15,138546
2020-11-16,139168
2020-11-17,139776
2020-11-18,140355
2020-11-19,140982
2020-11-20,141615
2020-11-21,142265
2020-11-22,142457
2020-11-23,142588
2020-11-24,142898
2020-11-25,143615
2020-11-26,144378
2020-11-27,144741
2020-11-28,145110
2020-11-29,145212
2020-11-30,145253
2020-12-01,145794
2020-12-02,146528
2020-12-03,147274
2020-12-04,148003
2020-12-05,148712
2020-12-06,149385
2020-12-07,149989
2020-12-08,150575
2020-12-09,151312
2020-12-10,152073
2020-12-11,152962
2020-12-12,153556
2020-12-13,153649
2020-12-14,153917
2020-12-15,154734
2020-12-16,156122
2020-12-17,157396
2020-12-18,158449
2020-12-19,159109
2020-12-20,159436
2020-12-21,159639
2020-12-22,160611
2020-12-23,161539
2020-12-24,162149
2020-12-25,162380
2020-12-26,163107
2020-12-27,163415
2020-12-28,163993
2020-12-29,164416
2020-12-30,165426
2020-12-31,166484
2021-01-01,167062
2021-01-02,167615
2021-01-03,168044
2021-01-04,168179
2021-01-05,168545
2021-01-06,169646
2021-01-07,170611
2021-01-08,171547
2021-01-09,172261
2021-01-10,172776
2021-01-11,173299
2021-01-12,173518
2021-01-13,174199
2021-01-14,175227
2021-01-15,175997
2021-01-16,176835
2021-01-17,177843
2021-01-18,177843
2021-01-19,178081
2021-01-20,179353
2021-01-21,180464
2021-01-22,181773
2021-01-23,182907
2021-01-24,183726
2021-01-25,184907
2021-01-26,186033
2021-01-27,187246
2021-01-28,188290
2021-01-29,189415
2021-01-30,190480
2021-01-31,191584
2021-02-01,192598
2021-02-02,193465
2021-02-03,194519
2021-02-04,195482
2021-02-05,196542
2021-02-06,197460
2021-02-07,198124
2021-02-08,198735
2021-02-09,199706
2021-02-10,200846
2021-02-11,201976
2021-02-12,203113
2021-02-13,203943
2021-02-14,204584
2021-02-15,205579
2021-02-16,206397
2021-02-17,207411
2021-02-18,208742
2021-02-19,209933
2021-02-20,211282
2021-02-21,212286
2021-02-22,213227
2021-02-23,214207
2021-02-24,215527
2021-02-25,217121
2021-02-26,218307
2021-02-27,219723
2021-02-28,221115
2021-03-01,222259
2021-03-02,223169
2021-03-03,224287
2021-03-04,225672
2021-03-05,226536
2021-03-06,227976
2021-03-07,229194
2021-03-08,230206
2021-03-09,231406
2021-03-10,232771
2021-03-11,234254
2021-03-12,235619
2021-03-13,237313
2021-03-14,238569
2021-03-15,239594
2021-03-16,240398
2021-03-17,241592
2021-03-18,242995
2021-03-19,244264
2021-03-20,245564
2021-03-21,246382
2021-03-22,247312
2021-03-23,248452
2021-03-24,249606
2021-03-25,251278
2021-03-26,252889
2021-03-27,254299
2021-03-28,255502
2021-03-29,256470
2021-03-30,257620
2021-03-31,259173
2021-04-01,260484
2021-04-02,261711
2021-04-03,262500
2021-04-04,263581
2021-04-05,264640
2021-04-06,265457
2021-04-07,267008
2021-04-08,268179
2021-04-09,269451
2021-04-10,270931
2021-04-11,271325
2021-04-12,272811
2021-04-13,274083
2021-04-14,275301
2021-04-15,276669
2021-04-16,277793
2021-04-17,279170
2021-04-18,280063
2021-04-19,280967
2021-04-20,282039
2021-04-21,283147
2021-04-22,284189
2021-04-23,285323
2021-04-24,286338
2021-04-25,287340
2021-04-26,288282
2021-04-27,289319
2021-04-28,290547
2021-04-29,291559
2021-04-30,292669
2021-05-01,293717
2021-05-02,294672
2021-05-03,295458
2021-05-04,296587
2021-05-05,297586
2021-05-06,298776
2021-05-07,299903
2021-05-08,300985
2021-05-09,301885
2021-05-10,302701
2021-05-11,303633
2021-05-12,305050
2021-05-13,306177
2021-05-14,307542
2021-05-15,308633
2021-05-16,309712
2021-05-17,310470
2021-05-18,311355
2021-05-19,312185
2021-05-20,313077
2021-05-21,314233
2021-05-22,315648
2021-05-23,316897
2021-05-24,318261
2021-05-25,320276
2021-05-26,322538
2021-05-27,324425
2021-05-28,326342
2021-05-29,328771
2021-05-30,329949
2021-05-31,330965
2021-06-01,332716
2021-06-02,335119
2021-06-03,337779
2021-06-04,340200
2021-06-05,342192
2021-06-06,344174
2021-06-07,345596
2021-06-08,347008
2021-06-09,348353
2021-06-10,352264
2021-06-11,354715
2021-06-12,356826
2021-06-13,358860
2021-06-14,361435
2021-06-15,363793
2021-06-16,366121
2021-06-17,368578
2021-06-18,371133
2021-06-19,373772
2021-06-20,375950
2021-06-21,378064
2021-06-22,380250
2021-06-23,382627
2021-06-24,385018
2021-06-25,387711
2021-06-26,389713
2021-06-27,391811
2021-06-28,392926
2021-06-29,394709
2021-06-30,396442
2021-07-01,396904
